Word, Frequency, Frequency(%)
the,8791,3.83
and,7868,3.43
to,5741,2.50
a,4699,2.05
he,4598,2.00
i,4245,1.85
you,3852,1.68
of,3747,1.63
it,3643,1.59
in,3528,1.54
that,3298,1.44
was,2910,1.27
s,2340,1.02
his,2194,0.96
with,1861,0.81
but,1853,0.81
for,1837,0.80
her,1812,0.79
at,1798,0.78
not,1797,0.78
all,1679,0.73
him,1630,0.71
as,1611,0.70
she,1570,0.68
on,1538,0.67
is,1421,0.62
had,1396,0.61
so,1237,0.54
what,1227,0.53
t,1196,0.52
be,1110,0.48
me,1095,0.48
this,1078,0.47
there,975,0.42
from,968,0.42
even,950,0.41
if,937,0.41
out,918,0.40
have,914,0.40
they,819,0.36
raskolnikov,801,0.35
now,798,0.35
my,794,0.35
one,763,0.33
no,753,0.33
by,708,0.31
were,707,0.31
about,666,0.29
your,635,0.28
then,631,0.27
up,628,0.27
them,625,0.27
or,605,0.26
do,595,0.26
some,587,0.26
an,587,0.26
would,577,0.25
are,559,0.24
ll,556,0.24
did,544,0.24
just,544,0.24
how,541,0.24
suddenly,540,0.24
time,524,0.23
here,518,0.23
well,517,0.23
been,505,0.22
who,502,0.22
man,499,0.22
only,486,0.21
himself,483,0.21
know,473,0.21
could,471,0.21
more,450,0.20
will,449,0.20
said,442,0.19
go,436,0.19
sir,436,0.19
we,433,0.19
come,431,0.19
don,425,0.19
can,424,0.18
like,423,0.18
why,420,0.18
very,411,0.18
again,410,0.18
into,402,0.18
when,398,0.17
little,391,0.17
such,390,0.17
something,390,0.17
sonya,389,0.17
see,384,0.17
m,378,0.16
went,369,0.16
razumikhin,361,0.16
because,359,0.16
re,357,0.16
down,351,0.15
once,347,0.15
thought,345,0.15
too,343,0.15
came,334,0.15
over,333,0.15
still,331,0.14
right,325,0.14
which,325,0.14
same,323,0.14
ivanovna,318,0.14
way,316,0.14
much,316,0.14
two,310,0.14
away,308,0.13
ve,299,0.13
began,294,0.13
petrovich,293,0.13
also,285,0.12
moment,279,0.12
everything,279,0.12
whole,278,0.12
say,273,0.12
first,267,0.12
has,265,0.12
eyes,264,0.12
quite,262,0.11
before,261,0.11
almost,258,0.11
other,256,0.11
where,253,0.11
after,253,0.11
without,250,0.11
any,249,0.11
already,247,0.11
back,247,0.11
look,243,0.11
looked,241,0.10
room,238,0.10
their,237,0.10
take,236,0.10
get,236,0.10
going,234,0.10
nothing,232,0.10
though,230,0.10
am,229,0.10
dunya,227,0.10
door,227,0.10
katerina,226,0.10
tell,226,0.10
svidrigailov,222,0.10
people,221,0.10
most,220,0.10
face,218,0.09
let,218,0.09
old,217,0.09
good,216,0.09
myself,216,0.09
must,211,0.09
porfiry,211,0.09
yes,210,0.09
long,208,0.09
really,205,0.09
head,199,0.09
own,199,0.09
woman,198,0.09
looking,197,0.09
asked,196,0.09
want,193,0.08
than,192,0.08
around,190,0.08
turned,190,0.08
got,187,0.08
think,186,0.08
these,185,0.08
hand,184,0.08
thing,184,0.08
somehow,181,0.08
off,181,0.08
cried,181,0.08
pyotr,179,0.08
mother,179,0.08
took,177,0.08
anything,176,0.08
day,176,0.08
money,175,0.08
understand,175,0.08
god,174,0.08
seemed,173,0.08
never,172,0.07
perhaps,170,0.07
d,170,0.07
made,169,0.07
last,168,0.07
least,167,0.07
certain,165,0.07
left,165,0.07
yesterday,165,0.07
ah,164,0.07
us,161,0.07
being,161,0.07
herself,161,0.07
having,160,0.07
yet,160,0.07
course,158,0.07
yourself,156,0.07
finally,156,0.07
through,155,0.07
another,153,0.07
things,153,0.07
put,153,0.07
our,152,0.07
place,152,0.07
heh,150,0.07
stood,149,0.06
hands,149,0.06
brother,148,0.06
won,147,0.06
may,147,0.06
didn,143,0.06
life,143,0.06
sort,143,0.06
three,142,0.06
better,141,0.06
mind,140,0.06
simply,135,0.06
alone,134,0.06
however,134,0.06
both,133,0.06
house,133,0.06
sister,133,0.06
heart,133,0.06
gave,133,0.06
dear,132,0.06
might,132,0.06
leave,130,0.06
always,129,0.06
should,129,0.06
pulcheria,129,0.06
apartment,129,0.06
wanted,129,0.06
point,128,0.06
alexandrovna,128,0.06
everyone,128,0.06
new,128,0.06
give,127,0.06
strange,126,0.05
believe,126,0.05
while,125,0.05
case,125,0.05
since,125,0.05
enough,124,0.05
kept,121,0.05
became,121,0.05
oh,120,0.05
ask,120,0.05
rodya,120,0.05
indeed,120,0.05
table,119,0.05
avdotya,119,0.05
luzhin,119,0.05
romanovna,118,0.05
heard,118,0.05
girl,117,0.05
make,116,0.05
saw,116,0.05
felt,116,0.05
every,116,0.05
knew,115,0.05
told,115,0.05
those,115,0.05
especially,114,0.05
precisely,113,0.05
reason,113,0.05
end,113,0.05
children,112,0.05
word,112,0.05
each,111,0.05
sat,111,0.05
young,111,0.05
today,111,0.05
under,110,0.05
quickly,108,0.05
stairs,108,0.05
maybe,108,0.05
street,107,0.05
home,107,0.05
question,105,0.05
words,105,0.05
walked,104,0.05
dunechka,104,0.05
lying,104,0.05
soon,104,0.05
later,103,0.04
rodion,103,0.04
find,103,0.04
immediately,103,0.04
many,102,0.04
half,102,0.04
speak,102,0.04
five,100,0.04
afraid,100,0.04
remember,99,0.04
years,98,0.04
besides,98,0.04
stopped,98,0.04
great,97,0.04
standing,97,0.04
else,97,0.04
mean,97,0.04
somewhere,96,0.04
someone,96,0.04
voice,94,0.04
corner,92,0.04
drunk,92,0.04
added,92,0.04
zossimov,92,0.04
found,91,0.04
zamyotov,91,0.04
means,91,0.04
times,90,0.04
days,90,0.04
mr,89,0.04
coming,89,0.04
does,89,0.04
talking,88,0.04
open,88,0.04
petersburg,87,0.04
possible,87,0.04
live,87,0.04
pale,86,0.04
hear,86,0.04
saying,86,0.04
its,86,0.04
completely,85,0.04
feeling,85,0.04
far,85,0.04
done,85,0.04
straight,84,0.04
noticed,84,0.04
lord,84,0.04
sick,84,0.04
roubles,84,0.04
devil,83,0.04
seen,83,0.04
gone,83,0.04
terribly,83,0.04
true,83,0.04
love,82,0.04
fact,82,0.04
thinking,82,0.04
ago,82,0.04
started,82,0.04
part,81,0.04
shall,81,0.04
listen,81,0.04
behind,81,0.04
petrovna,81,0.04
matter,80,0.03
nastasya,80,0.03
steps,80,0.03
fell,80,0.03
sofya,80,0.03
short,80,0.03
night,79,0.03
need,79,0.03
marfa,79,0.03
anyone,79,0.03
longer,78,0.03
cannot,77,0.03
world,77,0.03
ten,77,0.03
eh,76,0.03
start,76,0.03
keep,76,0.03
sofa,75,0.03
blood,75,0.03
talk,75,0.03
semyonovna,75,0.03
help,74,0.03
